@timestamp,log_source,host_name,user_name,source_ip,process_name,event_type,mse,threshold,is_alert,confidence,confidence_level,top_features,top_feat,split,role
2026-06-16 16:22:29.435000+00:00,auth,ASUS-X415JA,hala-hamza,,sudo,sudo,3.811318,3.6295780445355463,1,1.05,low,"msg_length_log=8.4, distinct_users_5m_ip=2.3, auth_fail_ratio=1.0",msg_length_log,test,alert
2026-06-16 16:22:52.649000+00:00,auth,ASUS-X415JA,hala-hamza,,sudo,sudo,3.6833472,3.6295780445355463,1,1.015,low,"msg_length_log=8.3, distinct_users_5m_ip=1.2, distinct_ips_5m_user=0.4",msg_length_log,test,alert
2026-06-16 16:35:42.999000+00:00,auth,ASUS-X415JA,hala-hamza,,sudo,sudo,4.1169906,3.6295780445355463,1,1.134,low,"msg_length_log=8.7, distinct_users_5m_ip=2.1, event_count_5m_ip=1.2",msg_length_log,test,alert
2026-06-16 16:36:17.085000+00:00,auth,ASUS-X415JA,hala-hamza,,sudo,sudo,4.1583767,3.6295780445355463,1,1.146,low,"msg_length_log=8.8, distinct_ips_5m_user=1.4, distinct_users_5m_ip=0.9",msg_length_log,test,alert
2026-06-16 16:36:17.216000+00:00,auth,ASUS-X415JA,hala-hamza,,sudo,sudo,4.4063935,3.6295780445355463,1,1.214,low,"msg_length_log=9.0, distinct_ips_5m_user=4.0, inter_arrival_log=1.9",msg_length_log,test,alert
2026-06-16 16:52:33.312000+00:00,auth,ASUS-X415JA,hala-hamza,,sudo,sudo,3.882419,3.6295780445355463,1,1.07,low,"msg_length_log=8.5, distinct_users_5m_ip=2.3, auth_fail_ratio=1.0",msg_length_log,test,alert
2026-06-16 16:52:54.729000+00:00,auth,ASUS-X415JA,hala-hamza,,sudo,sudo,3.7243948,3.6295780445355463,1,1.026,low,"msg_length_log=8.3, distinct_users_5m_ip=1.2, distinct_ips_5m_user=0.5",msg_length_log,test,alert
2026-06-16 16:54:47.678000+00:00,auth,ASUS-X415JA,hala-hamza,,sudo,sudo,3.8178825,3.6295780445355463,1,1.052,low,"msg_length_log=8.4, distinct_ips_5m_user=2.7, auth_fail_ratio=0.8",msg_length_log,test,alert
2026-06-18 12:16:02.732000+00:00,auth,ASUS-X415JA,,,dbus-daemon,dbus-daemon,3.8027272,3.6295780445355463,1,1.048,low,"inter_arrival_log=8.0, msg_length_log=4.9, distinct_users_5m_ip=2.3",inter_arrival_log,test,alert
2026-06-20 14:35:50.750000+00:00,auth,ASUS-X415JA,hala-hamza,,sudo,sudo,4.347602,3.6295780445355463,1,1.198,low,"msg_length_log=9.0, distinct_ips_5m_user=1.7, inter_arrival_log=1.0",msg_length_log,test,alert
