log_source,host_name,start,end,duration_s,n_alerts,n_distinct_proc,top_processes,mse_max,mse_mean
auditd,asus-x415ja,2026-07-01 09:26:24.998000+00:00,2026-07-01 09:30:13.107000+00:00,228.1,11,5,"sshd, bash, base64",24.9807,7.8552
auditd,asus-x415ja,2026-07-01 11:38:48.212000+00:00,2026-07-01 11:38:58.438000+00:00,10.2,7,5,"userdel, base64, bash",24.9586,8.7276
auditd,asus-x415ja,2026-07-01 05:05:15.334000+00:00,2026-07-01 05:07:23.477000+00:00,128.1,47,17,"tr, sed, exe",17.9883,7.1484
syslog,ASUS-X415JA,2026-06-24 13:34:51.422000+00:00,2026-06-24 13:37:28.284000+00:00,156.9,3,3,"rsyslogd, kernel, gnome-shell",17.9578,14.72
syslog,ASUS-X415JA,2026-06-25 10:04:02.803000+00:00,2026-06-25 10:05:38.888000+00:00,96.1,5,4,"gnome-shell, snapd-apparmor, kernel",15.3718,13.6054
syslog,ASUS-X415JA,2026-06-27 07:06:01.468000+00:00,2026-06-27 07:06:01.468000+00:00,0.0,2,2,"kernel, snapd-apparmor",14.9386,14.06
syslog,ASUS-X415JA,2026-06-23 07:36:34.522000+00:00,2026-06-23 07:36:34.525000+00:00,0.0,2,2,"snapd-apparmor, kernel",14.5592,14.139
auditd,asus-x415ja,2026-07-01 11:19:20.078000+00:00,2026-07-01 11:22:14.427000+00:00,174.3,2,2,"df, gnome-text-edit",14.3049,12.6326
syslog,ASUS-X415JA,2026-06-20 11:14:24.175000+00:00,2026-06-20 11:16:35.558000+00:00,131.4,4,1,gnome-shell,14.3024,13.9979
syslog,ASUS-X415JA,2026-06-22 12:26:31.758000+00:00,2026-06-22 12:26:31.760000+00:00,0.0,2,2,"snapd-apparmor, kernel",14.0796,13.7909
syslog,ASUS-X415JA,2026-06-21 09:45:26.478000+00:00,2026-06-21 09:45:26.479000+00:00,0.0,2,2,"rsyslogd, kernel",13.9331,13.6642
syslog,ASUS-X415JA,2026-06-25 06:41:19.553000+00:00,2026-06-25 06:41:19.554000+00:00,0.0,2,2,"snapd-apparmor, kernel",13.762,13.6867
syslog,ASUS-X415JA,2026-06-23 09:26:08.885000+00:00,2026-06-23 09:26:08.885000+00:00,0.0,1,1,gnome-shell,13.5963,13.5963
