log_source,host_name,start,end,duration_s,n_alerts,n_distinct_proc,top_processes,dominant_features,mse_max,mse_mean
auth,ASUS-X415JA,2026-06-22 12:49:50.373000+00:00,2026-06-22 12:50:35.262000+00:00,44.9,12,3,"sshd, userdel, useradd","user_rarity (8), event_type_seq (3), is_fail (1)",48.7472,26.3878
auth,ASUS-X415JA,2026-07-01 09:29:50.088000+00:00,2026-07-01 09:30:05.480000+00:00,15.4,5,3,"userdel, sshd, useradd","event_type_seq (4), user_rarity (1)",48.0541,34.7644
auth,ASUS-X415JA,2026-07-01 11:38:29.973000+00:00,2026-07-01 11:38:50.273000+00:00,20.3,55,3,"sshd, userdel, useradd","ip_is_external (47), event_type_seq (4), is_fail (3)",48.0541,16.8921
syslog,ASUS-X415JA,2026-06-23 07:36:34.520000+00:00,2026-06-23 07:39:31.915000+00:00,177.4,3,3,"systemd-modules-load, snapd-apparmor, gsd-rfkill","inter_arrival_log (1), event_type_seq (1), proc_rarity (1)",47.2274,23.2393
syslog,ASUS-X415JA,2026-06-25 08:08:38.704000+00:00,2026-06-25 08:08:52.284000+00:00,13.6,2,2,"kernel, nm-dispatcher","inter_arrival_log (1), proc_rarity (1)",47.2274,28.0315
syslog,ASUS-X415JA,2026-06-25 15:26:07.571000+00:00,2026-06-25 15:26:07.571000+00:00,0.0,1,1,check-new-release-gtk,proc_rarity (1),47.2274,47.2274
auditd,asus-x415ja,2026-07-02 07:37:18.994000+00:00,2026-07-02 07:37:19.111000+00:00,0.1,5,2,"pavucontrol, pool-pavucontro","proc_rarity (3), exe_path_rarity (2)",45.1803,27.4754
auditd,asus-x415ja,2026-07-02 06:26:14.570000+00:00,2026-07-02 06:29:48.073000+00:00,213.5,359,123,"cp, mkdir, ln","parent_child_rarity (219), proc_rarity (90), exe_path_rarity (35)",45.1801,24.2171
auditd,asus-x415ja,2026-07-01 11:19:20.078000+00:00,2026-07-01 11:22:14.818000+00:00,174.7,5,3,"gnome-text-edit, df, 64636F6E6620776F726B6572","proc_rarity (3), exe_path_rarity (2)",45.1801,29.1219
auditd,asus-x415ja,2026-07-01 11:38:48.169000+00:00,2026-07-01 11:38:52.337000+00:00,4.2,7,3,"useradd, userdel, echo","syscall_rarity (4), event_type_seq (2), parent_child_rarity (1)",45.1717,29.637
auditd,asus-x415ja,2026-07-01 12:43:22.821000+00:00,2026-07-01 12:47:24.934000+00:00,242.1,3,2,"sed, clear","parent_child_rarity (2), proc_rarity (1)",45.1717,27.7094
