log_source,host_name,start,end,duration_s,n_alerts,n_distinct_proc,top_processes,dominant_features,mse_max,mse_mean,is_attack
auditd,asus-x415ja,2026-07-01 11:18:54.623000+00:00,2026-07-01 11:22:14.818000+00:00,200.2,7,4,"gnome-text-edit, tail, df","proc_rarity (3), exe_path_rarity (3), parent_child_rarity (1)",46.4168,23.3418,0
auditd,asus-x415ja,2026-07-02 07:35:01.963000+00:00,2026-07-02 07:43:12.688000+00:00,490.7,8,5,"pavucontrol, cron, pool-pavucontro","inter_arrival_log (3), proc_rarity (3), exe_path_rarity (2)",46.4167,19.6794,0
auditd,asus-x415ja,2026-07-02 06:25:01.472000+00:00,2026-07-02 06:29:49.130000+00:00,287.7,461,126,"cp, mkdir, ln","parent_child_rarity (269), proc_rarity (98), exe_path_rarity (34)",46.4167,22.3226,0
auditd,asus-x415ja,2026-07-01 12:43:22.821000+00:00,2026-07-01 12:47:24.934000+00:00,242.1,3,2,"sed, clear","parent_child_rarity (2), proc_rarity (1)",46.4165,29.8344,0
auditd,asus-x415ja,2026-07-01 11:38:45.128000+00:00,2026-07-01 11:38:52.337000+00:00,7.2,23,4,"useradd, userdel, python3","et_bigram_rarity (18), syscall_rarity (4), cmd_entropy (1)",46.4165,21.7551,1
syslog,ASUS-X415JA,2026-06-22 13:33:47.370000+00:00,2026-06-22 13:38:32.188000+00:00,284.8,3,3,"dockerd, CRON, whoopsie","et_bigram_rarity (2), proc_rarity (1)",45.8411,27.8908,0
syslog,ASUS-X415JA,2026-06-22 12:26:48.426000+00:00,2026-06-22 12:29:34.771000+00:00,166.3,4,4,"dockerd, systemd-timesyncd, wpa_supplicant","et_bigram_rarity (2), inter_arrival_log (1), proc_rarity (1)",45.8411,23.3259,0
syslog,ASUS-X415JA,2026-06-25 12:55:01.790000+00:00,2026-06-25 12:56:46.386000+00:00,104.6,3,3,"CRON, systemd-timesyncd, kernel",et_bigram_rarity (3),45.8411,33.4733,0
syslog,ASUS-X415JA,2026-06-25 14:43:15.496000+00:00,2026-06-25 14:43:15.496000+00:00,0.0,1,1,dockerd,et_bigram_rarity (1),45.8411,45.8411,0
syslog,ASUS-X415JA,2026-06-25 15:26:07.571000+00:00,2026-06-25 15:26:07.571000+00:00,0.0,1,1,check-new-release-gtk,proc_rarity (1),45.8411,45.8411,0
