episode_id,log_source,host_name,start,end,duration_s,n_alerts,n_distinct_proc,top_processes,dominant_features,mse_max,mse_mean
EP-c5edd4490c,auth,ASUS-X415JA,2026-08-10 06:39:22.490000+00:00,2026-08-10 06:39:35.376000+00:00,12.9,6,1,sshd,user_rarity (6),48.0541,37.7198
EP-97a830cfd5,auth,ASUS-X415JA,2026-08-04 21:41:34.095000+00:00,2026-08-04 21:43:26.748000+00:00,112.7,23,1,sshd,"ip_is_external (17), is_fail (5), event_type_seq (1)",48.0541,36.7239
EP-f7c1bfd1a8,auth,ASUS-X415JA,2026-08-10 06:45:12.171000+00:00,2026-08-10 06:45:14.296000+00:00,2.1,6,5,"usermod, useradd, su","user_rarity (3), event_type_seq (3)",48.0541,41.2301
EP-e15af44047,syslog,ASUS-X415JA,2026-08-05 14:30:43.716000+00:00,2026-08-05 14:30:47.957000+00:00,4.2,7,2,"python3, kernel","proc_rarity (6), inter_arrival_log (1)",47.2274,35.3836
EP-6e92cba91d,syslog,ASUS-X415JA,2026-08-06 11:47:46.631000+00:00,2026-08-06 11:50:33.383000+00:00,166.8,6,6,"systemd-modules-load, dnsmasq-dhcp, evolution-calen","proc_rarity (5), inter_arrival_log (1)",47.2274,23.8525
EP-518abd36eb,syslog,ASUS-X415JA,2026-08-10 07:18:48.696000+00:00,2026-08-10 07:18:49.122000+00:00,0.4,5,1,sentinel_1ff6747b_daemon2,proc_rarity (5),47.2274,42.4172
EP-ceceb87db7,auditd,asus-x415ja,2026-08-13 19:01:44.796000+00:00,2026-08-13 19:15:32.731000+00:00,827.9,84,7,"systemd-resolve, systemd-udevd, (sd-bright)","user_rarity (67), proc_rarity (6), parent_child_rarity (6)",46.3881,26.6455
EP-c7412d047f,auditd,asus-x415ja,2026-08-13 20:00:52.731000+00:00,2026-08-13 20:08:54.218000+00:00,481.5,18,2,"sd-resolve, systemd-timesyn","user_rarity (17), proc_rarity (1)",45.1807,39.0986
EP-0c02a5c665,auditd,asus-x415ja,2026-08-10 06:45:12.149000+00:00,2026-08-10 06:45:16.833000+00:00,4.7,36,10,"usermod, gpasswd, useradd","parent_child_rarity (17), exe_path_rarity (9), event_type_seq (4)",45.1805,22.7894
EP-07c8078f59,auditd,asus-x415ja,2026-08-18 21:20:00.325000+00:00,2026-08-18 21:20:13.282000+00:00,13.0,17,5,"pool, gvfsd-dnssd, gvfsd-network","exe_path_rarity (9), proc_rarity (6), parent_child_rarity (2)",45.1803,23.5775
EP-38cfe9d7e9,auditd,asus-x415ja,2026-08-04 22:08:44.741000+00:00,2026-08-04 22:09:37.695000+00:00,53.0,2,1,jq,"proc_rarity (1), exe_path_rarity (1)",45.1802,36.35
EP-6338f848db,auditd,asus-x415ja,2026-08-10 06:50:47.562000+00:00,2026-08-10 06:50:52.225000+00:00,4.7,12,8,"zqx1ff6747b, uptime, cp","exe_path_rarity (8), parent_child_rarity (3), proc_rarity (1)",45.1801,25.6501
EP-36746677de,auditd,asus-x415ja,2026-08-10 06:19:55.118000+00:00,2026-08-10 06:21:54.936000+00:00,119.8,22,8,"pool-org.gnome., bwrap, evince-thumbnai","parent_child_rarity (16), exe_path_rarity (5), proc_rarity (1)",45.1801,19.3291
EP-78c628e751,auditd,asus-x415ja,2026-08-10 07:07:36.836000+00:00,2026-08-10 07:07:40.516000+00:00,3.7,7,7,"cp, setcap, getcap","parent_child_rarity (3), exe_path_rarity (2), proc_rarity (2)",45.1801,25.2916
EP-de4251fd91,auditd,asus-x415ja,2026-08-10 06:56:24.214000+00:00,2026-08-10 06:56:29.042000+00:00,4.8,8,4,"groups, ss, strace","exe_path_rarity (5), proc_rarity (2), parent_child_rarity (1)",45.18,31.0767
EP-6f8adbd38a,auditd,asus-x415ja,2026-08-10 06:39:21.128000+00:00,2026-08-10 06:39:40.761000+00:00,19.6,11,8,"sh, bash, ps","parent_child_rarity (8), proc_rarity (2), exe_path_rarity (1)",45.18,23.4205
EP-5d985ab8fa,auditd,asus-x415ja,2026-08-18 07:00:00.165000+00:00,2026-08-18 07:00:00.182000+00:00,0.0,4,1,zqx7f67de36,"exe_path_rarity (3), proc_rarity (1)",45.1793,24.7462
EP-48cb1b9ca9,auditd,asus-x415ja,2026-08-10 07:41:18.675000+00:00,2026-08-10 07:41:18.675000+00:00,0.0,1,1,sentinel_vb_1ff,proc_rarity (1),45.1793,45.1793
EP-ed71fefb8e,auditd,asus-x415ja,2026-08-18 07:49:53.758000+00:00,2026-08-18 07:49:53.758000+00:00,0.0,1,1,sentinel_vb_7f6,proc_rarity (1),45.1792,45.1792
EP-e5ceb4846e,auditd,asus-x415ja,2026-08-04 21:41:20.413000+00:00,2026-08-04 21:44:27.207000+00:00,186.8,9,7,"ssh, sshd, gnome-terminal","parent_child_rarity (5), event_type_seq (2), proc_rarity (2)",45.1717,21.6897
EP-5ce5fa3582,auditd,asus-x415ja,2026-08-04 22:23:36.463000+00:00,2026-08-04 22:23:36.463000+00:00,0.0,1,1,tree,proc_rarity (1),45.1717,45.1717
EP-6b03a6f0b4,auditd,asus-x415ja,2026-08-10 07:58:07.264000+00:00,2026-08-10 07:58:07.267000+00:00,0.0,4,3,"env, q1ff6747b, true","parent_child_rarity (3), exe_path_rarity (1)",45.0268,27.1513
EP-231d707cff,auditd,asus-x415ja,2026-08-17 23:00:05.811000+00:00,2026-08-17 23:00:06.267000+00:00,0.5,35,8,"cups-browsed, logrotate, gzip","user_rarity (21), exe_path_rarity (8), proc_rarity (3)",45.0158,24.9518
EP-1b009df722,auditd,asus-x415ja,2026-08-18 08:06:29.802000+00:00,2026-08-18 08:06:29.808000+00:00,0.0,4,3,"env, q7f67de36, true","parent_child_rarity (3), exe_path_rarity (1)",45.0106,27.2176
EP-1555756036,auditd,asus-x415ja,2026-08-18 07:44:21.736000+00:00,2026-08-18 07:44:21.738000+00:00,0.0,4,1,sentinel_shm_7f,exe_path_rarity (4),44.9972,24.3772
EP-543614bd88,auditd,asus-x415ja,2026-08-04 23:29:28.740000+00:00,2026-08-04 23:29:29.063000+00:00,0.3,12,9,"grep, find, xargs","parent_child_rarity (8), proc_rarity (2), inter_arrival_log (1)",44.9909,22.1131
EP-20d939777d,auditd,asus-x415ja,2026-08-10 07:35:42.576000+00:00,2026-08-10 07:35:45.998000+00:00,3.4,6,3,"sentinel_shm_1f, chmod, free","exe_path_rarity (5), parent_child_rarity (1)",44.8796,19.5114
EP-eef654533c,auditd,asus-x415ja,2026-08-10 07:02:00.151000+00:00,2026-08-10 07:02:05.500000+00:00,5.3,3,3,"insmod, groups, wc","proc_rarity (1), exe_path_rarity (1), parent_child_rarity (1)",43.1094,26.7534
EP-3b69b7d631,auditd,asus-x415ja,2026-08-13 19:32:36.982000+00:00,2026-08-13 19:32:36.982000+00:00,0.0,1,1,systemd-timesyn,user_rarity (1),43.0924,43.0924
